mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Kobokoboite,Afmite,1.0,Matulaite,0.547722557505,Eastonite,0.462910049886,Millosevichite,0.408248290464,Godovikovite,0.408248290464,Giorgiosite,0.408248290464,Berndtite,0.408248290464,Sulphur-beta,0.408248290464,Ottemannite,0.408248290464,Steklite,0.408248290464
Kochkarite,Xilingolite,0.8,Tsumoite,0.790569415042,Fassinaite,0.6,Bastnasite-(Y),0.6,Volynskite,0.487950036474,Aluminoceladonite,0.4472135955,Argentopentlandite,0.4472135955,Luanheite,0.4472135955,Sudoite,0.424264068712,Shuiskite,0.4
Koechlinite,Schumacherite,0.55,Bismutostibiconite,0.529150262213,Berlinite,0.505964425627,Lindgrenite,0.457495710998,Bismutoferrite,0.422115882409,Szenicsite,0.377964473009,Neyite,0.375325945303,Namibite,0.374817028533,Hammarite,0.361478445646,Wroewolfeite,0.36
Kogarkoite,Brenkite,0.738548945876,Paranatrolite,0.738548945876,Thorbastnasite,0.738548945876,Villiaumite,0.667423812472,Manganoneptunite,0.603022689156,Rasvumite,0.572077553547,Lorenzenite,0.545454545455,Rosenbuschite,0.501745206004,Kupletskite,0.452267016867,Phosphorrosslerite,0.452267016867
Kojonenite,Plumbopalladinite,0.866025403784,Atokite,0.866025403784,Tarkianite,0.816496580928,Palarstanide,0.816496580928,Keithconnite,0.816496580928,Zvyagintsevite,0.738548945876,Arsenopalladinite,0.707106781187,Telluropalladinite,0.707106781187,Telargpalite,0.666666666667,Palladobismutharsenide,0.666666666667
Kokinosite,Schindlerite,1.0,Wernerbaurite,1.0,Hughesite,0.816496580928,Nashite,0.774596669241,Calciodelrioite,0.738548945876,Gunterite,0.73029674334,Rakovanite,0.707106781187,Hendersonite,0.594088525786,Natrouranospinite,0.547722557505,Rilandite,0.547722557505
Kolbeckite,Overite,0.59160797831,Malhmoodite,0.547722557505,Tetraferriannite,0.5,Ferristrunzite,0.5,Kemmlitzite,0.5,Yofortierite,0.5,Labuntsovite-Fe,0.5,Paraumbite,0.4472135955,Lenoblite,0.4472135955,Miserite,0.418330013267
Kolfanite,Brindleyite,0.75,Erythrosiderite,0.5,Kirschsteinite,0.5,Phosphorrosslerite,0.5,Zirconolite,0.5,Tachyhydrite,0.5,Ordonezite,0.5,Lemoynite,0.4472135955,Jixianite,0.4472135955,Lovozerite,0.4472135955
Kolicite,Hauckite,1.0,Allactite,1.0,Yeatmanite,0.948683298051,Johnbaumite,0.948683298051,Holdenite,0.942809041582,Chlorophoenicite,0.904534033733,Hodgkinsonite,0.904534033733,Miguelromeroite,0.881917103688,Sterlinghillite,0.881917103688,Mooreite,0.881917103688
Kolwezite,Theisite,0.632455532034,Proto-ferro-anthophyllite,0.5,Fluoro-riebeckite,0.5,Proto-anthophyllite,0.5,Allargentum,0.4472135955,Lueshite,0.4472135955,Upalite,0.4472135955,Brugnatellite,0.4472135955,Novakite,0.4472135955,Bluestreakite,0.4472135955
Kolymite,Moschellandsbergite,0.894427191,Stibarsen,0.639602149067,Uytenbogaardtite,0.3585685828,Redondite,0.353553390593,Chalcocyanite,0.353553390593,Arsenogorceixite,0.353553390593,Vanalite,0.353553390593,Samsonite,0.353553390593,Playfairite,0.353553390593,Lecontite,0.353553390593
Konderite,Cherepanovite,1.0,Kashinite,0.816496580928,Hongshiite,0.816496580928,Genkinite,0.816496580928,Bowieite,0.816496580928,Platarsite,0.816496580928,Ruthenarsenite,0.816496580928,Miassite,0.816496580928,Mertieite-I,0.816496580928,Polarite,0.816496580928
Koninckite,Szymanskiite,0.714285714286,Vasilyevite,0.714285714286,Tedhadleyite,0.714285714286,Deanesmithite,0.714285714286,Donharrisite,0.714285714286,Aurivilliusite,0.714285714286,Mountkeithite,0.714285714286,Hanawaltite,0.714285714286,Peterbaylissite,0.714285714286,Clearcreekite,0.714285714286
Konyaite,Meisserite,0.707106781187,Ivsite,0.707106781187,Belakovskiite,0.707106781187,Fermiite,0.707106781187,Oppenheimerite,0.707106781187,Bluelizardite,0.707106781187,Bobcookite,0.707106781187,Boyleite,0.707106781187,Wetherillite,0.707106781187,Plasilite,0.707106781187
Kornelite,Coquimbite,0.47301616488,Rhomboclase,0.462962962963,Romerite,0.456832192576,Szomolnokite,0.430134037853,Voltaite,0.415500159227,Cuprocopiapite,0.415168245853,Ferricopiapite,0.402693633128,Siderotil,0.392837100659,Anorthominasragrite,0.38490017946,Aluminocopiapite,0.377964473009
Kornerupine,Prismatine,0.603022689156,Haynesite,0.335410196625,Brewsterite-Ba,0.335410196625,Brewsterite-Sr,0.335410196625,Larisaite,0.335410196625,Metavanuralite,0.335410196625,Hydrombobomkulite,0.306186217848,Canaphite,0.306186217848,Mbobomkulite,0.306186217848,Uranospathite,0.306186217848
Kosmochlor,Roaldite,1.0,Krinovite,0.790569415042,Roedderite,0.790569415042,Lonsdaleite,0.790569415042,Barringerite,0.790569415042,Lautite,0.774596669241,Nickelboussingaultite,0.676123403783,Wupatkiite,0.676123403783,Moissanite,0.674199862463,Flagstaffite,0.67082039325
Kosnarite,Glucine,0.845154254729,Mccrillisite,0.845154254729,Rossmanite,0.733799385705,Zigrasite,0.507092552837,Metavanmeersscheite,0.507092552837,Gainesite,0.507092552837,Hurlbutite,0.505076272276,Metauranospinite,0.503952630679,Greifensteinite,0.5,Jahnsite-(CaMnMn),0.458349248514
Kostovite,Velikite,0.683130051064,Lime,0.683130051064,Henryite,0.683130051064,Nekrasovite,0.683130051064,Stannoidite,0.683130051064,Bogdanovite,0.683130051064,Kiddcreekite,0.639009650423,Vulcanite,0.632455532034,Cameronite,0.632455532034,Nolanite,0.596284794
Kotoite,Paderaite,0.5,Armenite,0.408248290464,Fergusonite-(Y)-beta,0.36514837167,Gagarinite-(Y),0.36514837167,Calciohilairite,0.36514837167,Sogdianite,0.36514837167,Luinaite-(OH),0.36514837167,Okanoganite-(Y),0.36514837167,Joseite-B,0.339683110243,Uchucchacuaite,0.333333333333
Kottigite,Ceruleite,0.64168894792,Manganohornesite,0.64168894792,Miguelromeroite,0.64168894792,Mcgovernite,0.64168894792,Monimolite,0.64168894792,Mooreite,0.64168894792,Akrochordite,0.64168894792,Synadelphite,0.64168894792,Parabrandtite,0.64168894792,Legrandite,0.64168894792
Kotulskite,Temagamite,0.726483157257,Michenerite,0.646761666764,Vysotskite,0.628618557094,Stibiopalladinite,0.606339062591,Merenskyite,0.602464076077,Moncheite,0.591496174855,Arsenopalladinite,0.57735026919,Telluropalladinite,0.57735026919,Hollingworthite,0.503952630679,Zvyagintsevite,0.50251890763
