mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Coffinite,Moraesite,0.00827039616974,Ferrostrunzite,0.00880450906326,Jahnsite-(CaMnFe),0.0105234011235,Schoonerite,0.0107832773203,Paravauxite,0.0116961064294,Landesite,0.0120560705543,Minnesotaite,0.0123489732641,Kastningite,0.0124514561273,Calumetite,0.0128884815557,Earlshannonite,0.0128884815557
Cohenite,Gold,0.0163892443816,Domeykite,0.0191179778225,Wodginite,0.019462473604,Quartz,0.019524200602,Pyrite,0.0213457468779,Greenalite,0.0234146452895,Norbergite,0.0240562612162,Galena,0.0254327512879,Algodonite,0.025515518154,Cuprobismutite,0.025515518154
Colemanite,Minnesotaite,0.0099980005998,Domeykite,0.0103428600473,Wodginite,0.0105292328786,Halloysite-7A,0.010934350421,Chromite,0.0111428394337,Messelite,0.0111552687063,Eudialyte,0.011390142225,Sphalerite,0.0121136096537,Whitmoreite,0.0121951219512,Rockbridgeite,0.0124245173868
Collinsite,Datolite,0.00868024160574,Gold,0.0176717536381,Millerite,0.0180598410958,Magnesiochromite,0.0188044353611,Chrysotile,0.0194920293896,Pumpellyite-(Mg),0.0194920293896,Melonite,0.0201455741006,Chromite,0.0202255362078,Nitrocalcite,0.0206196524711,Sauconite,0.0216777492381
Coloradoite,Minnesotaite,0.0114064318472,Babingtonite,0.0143576830751,Greenalite,0.0144518328254,Hauerite,0.0146458258388,Norbergite,0.0148478467729,Brazilianite,0.0150584650484,Ferrostrunzite,0.0162650012158,Datolite,0.016367620538,Fluor-uvite,0.0165430555662,Fluoro-edenite,0.0168358757425
Columbite-(Fe),Millisite,0.0122701695639,Dietrichite,0.0134412973091,Stanfieldite,0.0134412973091,Juanitaite,0.0139130645188,Adelite,0.0139130645188,Eitelite,0.0144382693941,Hendricksite,0.0144382693941,Vincentite,0.0144382693941,Isomertieite,0.0150278272445,Osmium,0.0150278272445
Columbite-(Mn),Gerhardtite,0.0127061623313,Hauerite,0.0128767224774,Norbergite,0.0130543408331,Orthoserpierite,0.0143003138953,Fluor-uvite,0.0145447814141,Sussexite,0.0145447814141,Fluoro-edenite,0.0148022311604,Leucosphenite,0.0156652089998,Clinoatacamite,0.0170921442902,Paralaurionite,0.0175142361026
Colusite,Strunzite,0.0118946517017,Hydroxylherderite,0.0120543186004,Bavenite,0.015875015875,Minnesotaite,0.0162607000122,Wodginite,0.0171246936313,Osmium,0.0183308893777,Melanophlogite,0.0193673377996,Whitmoreite,0.019834087594,Probertite,0.019834087594,Idrialite,0.0200804832226
Comancheite,Gold,0.00545362157212,Malachite,0.00904209398635,Stibnite,0.00916544468883,Chalcopyrite,0.0100483483882,Galena,0.0102763833714,Muscovite,0.0103862825475,Pyrite,0.0109772526304,Rhodochrosite,0.0110742582364,Sphalerite,0.0111761496169,Quartz,0.0115047455358
Compreignacite,Gold,0.0149353577757,Stibnite,0.0200804832226,Datolite,0.0205412007504,Quartz,0.0226850711339,Cinnabar,0.0238311491762,Calcite,0.023944682257,Zaratite,0.025,Epidote,0.0255628891724,Uvarovite,0.0257769631113,Axinite-(Mn),0.0265372446217
Conichalcite,Hauerite,0.00906360956348,Moraesite,0.00945502306248,Jahnsite-(CaMnFe),0.0120307417295,Ferro-pargasite,0.0120307417295,Schoonerite,0.012327841818,Paravauxite,0.0133714218475,Landesite,0.0137829461605,Minnesotaite,0.0141178033814,Stanfieldite,0.0142349655843,Kastningite,0.0142349655843
Connellite,Wodginite,0.0124659598668,Whitmoreite,0.0144382693941,Hauerite,0.0151986917529,Xanthoxenite,0.0156269076979,Moraesite,0.0158550498051,Phosphophyllite,0.0158550498051,Strunzite,0.0173174777822,Greifensteinite,0.0174714139454,Britholite-(Ce),0.0174714139454,Ixiolite,0.0174714139454
