mineral,mineral_1,similarity_1,mineral_2,similarity_2,mineral_3,similarity_3,mineral_4,similarity_4,mineral_5,similarity_5,mineral_6,similarity_6,mineral_7,similarity_7,mineral_8,similarity_8,mineral_9,similarity_9,mineral_10,similarity_10
Durangite,Quartz,0.00034939491154,Gold,0.000356808349315,Pyrite,0.000361402240694,Galena,0.000492576173387,Chalcopyrite,0.00053828556049,Sphalerite,0.000582556591212,Calcite,0.000678334011667,Muscovite,0.000969618616677,Malachite,0.000980392156863,Baryte,0.00101405186151
Dussertite,Quartz,0.000412934375199,Gold,0.000490655247781,Pyrite,0.000496972982741,Chalcopyrite,0.000605571255551,Galena,0.000703779294813,Calcite,0.00081405603419,Sphalerite,0.000832362244049,Malachite,0.00110294117647,Magnetite,0.00111124830226,Hematite,0.0014241325738
Duttonite,Gold,0.000267570460221,Quartz,0.000412934375199,Chalcopyrite,0.000605571255551,Pyrite,0.000632596809905,Galena,0.000703779294813,Scheelite,0.000792811839323,Magnetite,0.000864090852981,Calcite,0.000881953867028,Sphalerite,0.000915674685757,Muscovite,0.000969461948619
Dypingite,Gold,0.000579580918413,Quartz,0.00073050659044,Pyrite,0.000948638026833,Chalcopyrite,0.00127817019845,Sphalerite,0.0013310040762,Galena,0.00133680433406,Calcite,0.00142421159715,Hematite,0.00258799171843,Magnetite,0.00259259259259,Malachite,0.00269607843137
Dyscrasite,Quartz,0.00161997331809,Gold,0.00191750278707,Pyrite,0.00216851140727,Calcite,0.00311970159376,Chalcopyrite,0.00329744279946,Galena,0.00366068285815,Sphalerite,0.00399533877143,Hematite,0.00400413329889,Chromite,0.00408419729815,Glaucophane,0.004329004329
Dzhalindite,Quartz,0.000254097319273,Gold,0.000535355788534,Pyrite,0.000542250338906,Sphalerite,0.000665945226005,Baryte,0.000724322758221,Magnetite,0.000740832201506,Galena,0.000774375219993,Chalcopyrite,0.000807754442649,Muscovite,0.000808146112817,Calcite,0.00081422173972
Dzharkenite,Quartz,0.00012705673083,Gold,0.000178436008386,Pyrite,0.000225927432109,Chalcopyrite,0.000269215237582,Galena,0.000281571167112,Sphalerite,0.000333028057614,Calcite,0.000339236040437,Muscovite,0.000485201358564,Malachite,0.000490436488475,Magnetite,0.000494132180358
Eakerite,Quartz,0.000158831003812,Gold,0.000178443968594,Pyrite,0.000225937641211,Chalcopyrite,0.000336564351104,Calcite,0.000339259058217,Galena,0.000352013517319,Hematite,0.0003885003885,Sphalerite,0.000416354400866,Chalcocite,0.000510855683269,Molybdenite,0.000572246065808
Earlshannonite,Gold,0.000267582393079,Quartz,0.000444726810673,Pyrite,0.00054220133743,Galena,0.000562983814215,Calcite,0.000678334011667,Carnotite,0.000696864111498,Baryte,0.000724112961622,Chalcopyrite,0.000740292078875,Chalcocite,0.00076472087688,Pyrolusite,0.000824402308326
Eastonite,Gold,8.92060660125e-05,Quartz,0.000222363405337,Magnetite,0.00024697456162,Tetrahedrite,0.000294550810015,Pyrite,0.000316312697695,Cinnabar,0.000453103760761,Chalcopyrite,0.000471190091546,Calcite,0.000474962681504,Galena,0.000492818924247,Scheelite,0.000529520783691
Ecdemite,Quartz,0.000349417108732,Pyrite,0.000406632630009,Gold,0.000446090020966,Chalcopyrite,0.000605693519079,Calcite,0.000610542025643,Baryte,0.000724322758221,Magnetite,0.000740832201506,Sphalerite,0.000749250749251,Hematite,0.000776598498576,Muscovite,0.000808146112817
Eckhardite,Quartz,0.000254129606099,Pyrite,0.000271100668715,Gold,0.000356903859023,Magnetite,0.00037046184243,Hematite,0.000388349514563,Baryte,0.000434719605854,Chalcopyrite,0.000471158376523,Calcite,0.000474930456612,Sphalerite,0.000499542086421,Galena,0.000563221627711
Eclarite,Gold,0.000267606261987,Quartz,0.000349417108732,Pyrite,0.000497040350639,Galena,0.000633490532836,Sphalerite,0.000749250749251,Chalcopyrite,0.000807754442649,Calcite,0.00081422173972,Malachite,0.000857948277975,Magnetite,0.00111166007905,Hematite,0.001295001295
Edenite,Gold,0.00177912200329,Quartz,0.00282548652338,Pyrite,0.00356514283136,Galena,0.00420993544766,Chalcopyrite,0.00443012484897,Carnotite,0.00459619172685,Sphalerite,0.00522648083624,Calcite,0.00575841745139,Malachite,0.00621118012422,Cinnabar,0.00653879686138
Edgarbaileyite,Gold,0.000312012480499,Sphalerite,0.000831531681357,Quartz,0.000857687420584,Chalcopyrite,0.000874243443174,Galena,0.000984736582964,Pyrite,0.00108435368003,Scheelite,0.00131787032156,Malachite,0.00134638922889,Fluorite,0.00164353542732,Microcline,0.00170164492343
Edingtonite,Gold,0.000178396218,Quartz,0.000285877644368,Pyrite,0.000361451226675,Fluorite,0.000365831351747,Galena,0.000422267576888,Chalcopyrite,0.000471063257066,Malachite,0.000490136012744,Magnetite,0.000493827160494,Sphalerite,0.000499417346429,Hematite,0.000517665329365
Edoylerite,Gold,8.92060660125e-05,Sphalerite,0.00016647244881,Quartz,0.000222363405337,Chalcopyrite,0.000269197119591,Pyrite,0.000316312697695,Galena,0.000351963958891,Fluorite,0.000366099212887,Calcite,0.000474962681504,Scheelite,0.000529520783691,Azurite,0.000547645125958
Eggletonite,Gold,4.46030330062e-05,Quartz,0.000190597204574,Chalcocite,0.000255297421496,Scheelite,0.000264760391845,Chalcopyrite,0.000269215237582,Pyrite,0.000271125169453,Silver,0.000281373100732,Bornite,0.000285306704708,Beryl,0.000406173842405,Calcite,0.00040711086986
